Category,Title,What I Did,Skills Used,Link,Notes
Coding,Movie Service,"In a team of two developers, we developed a full-stack web application and Android app for browsing and purchasing movies,utilizing Tomcat, JavaScript, Java, HTML5, CSS, and SQL. The application integrated over 1,000 movie entries from the Stanford Movies Database by parsing XML and DTD files, using SQL and JQuery to sort and display data effectively across web pages. In addition, we also developed a user login system with Google API for user authentication, ensuring validation to distinguish between legitmate users and bots. The application was deployed the application on the Amazon Web Services EC2 for reliable hosting and scalability on a HTTPS server.","Java, Javascript, RestAPI, TomCat, Maven, HTML, CSS, GitHub, Android Studio, SQL, XML, DTD, AWS E2",https://github.com/buimichelle/MovieService,
Coding,Web Crawler,"In a team of four developers, we created a www.ics.uci.edu web crawlers that returned a list of downloadable URLs. It must returned a rough list within a certain time frame. We used Python and Beautiful Soup. ","Python, BeautifulSoup",0,Please email me to see this code.
Coding,Search Engine,"In a team of three developers, we build a high-performance search engine using Python, featuring a front-end UI for seamless user interaction. We analyzed over 10,00 potential URL links to delievers the most relevant query results, leveraging TF-IDF Methodoglogies for efficient information retrieval. We achieved a sub-300ms query response times by optimizing operations with the Pandas library under stringent performance constraints.","Python, BeautifulSoup",0,Please email me to see this code.
Coding,PCOS-Answered,"For my Girls Who Code Leadership Fellowship Give Back Community Project, I created my first indepdently front-end engineering project to spread awareness about PCOS. I uitilized Javascript, Node.js, HTML5, and CSS. The website was hosted on Netlify.","Javascript, Node.js, HTML, CSS, Netlify",pcos-answered.netlify.net,
Coding,Michelle Bui's Portfolio,This website!,"GitHub, HTML, CSS, Javascript, JSON, Tailwind CSS",https://github.com/buimichelle/buimichelle.github.io,
Coding,Minesweeper AI Project,"In a team of two developers, we created an AI that will try to win a minesweeper game with 8x8 with 10 mines (beginner), 16x16 with 40 mines (intermediate), and 16x30 with 99 mines (expert). We ultiizeed the Single-Point Strategy, Model Checking, and Backtracking. In the test results, we solved 843/600 beginner, 807/500 intermediate, and 196/100 expert boards. ","Python, AI, Game Theory",0,Please email me to see this code.
Coding,Tic Tac Toe Application,Created a tic-tac-toe application that can be played via host and client ip addresses.,"Python, Tkinter",,Please email me to see this code.
Coding,Process and Resource Management,Simulated process scheduling and resource allocation in OS.,"Python, Operating Systems",0,
Coding,Virtual Memory with Demand Paging,Simulated virtual memory with demand paging techniques.,"Python, Operating Systems",0,Please email me to see this code.
Coding,Bank Fundraiser,Developed a fundraising management system for a bank.,C++,0,Please email me to see this code.
Coding,Bank Management,Built a banking system for managing customer accounts.,C++,0,Please email me to see this code.
Coding,Food Calculator,Created a nutrition calculator for food intake tracking.,C++,0,Please email me to see this code.
Coding,Parking Lot Management,Developed an automated parking lot management system.,C++,0,Please email me to see this code.
Coding,Sport Management,Designed a sports event management application.,C++,0,Please email me to see this code.
Website,deltalambdachi.org,"When I first join Delta Lambda Chi, there was no working website. With my love for websites, I ran to be webmistress and created a new website from startach and fixed the url to be more official and have a stronger web presence. I used WIX to allow to transfer of owernship of website to my successor and allowed myself to learn how to design a website. Successfully the website increased sorority membership by over 180%, from 6 members to 17 members in one year. The website was mentioned during new member interviews as one of the reasons why they want to join.","WIX, Communication",https://deltalambdachi.org,"Website is currently being managed by new webmistress. However, all designs beside updated information of members are created by me. "
Website,irvinemsfc.com,"The Irvine MSFC website was outdated and not human user friendly when I first started my term as Vice President of Communication. So I took the intituative to recreate the website to gather new members and have a stronger online preseence like the other Sortnity and Fratnerity councils. The current website boast updated pictures, organizations, and allowed potential new members to learn about QMulticutlrual sorority and fraternities. ","WIX, Communication",https://irvinemsfc.com,"Website is currently being managed by new web monitor. However, all designs beside updated infromation of members are created by me. "
Coding,Fashion MNIST Classifier,"I analyzed the Fashion MNIST dataset (60,000 training examples, 10,000 test examples) using Scikit-learn for classical models (Logistic Regression, KNN, Random Forests) and PyTorch for Feedforward Neural Networks to find which classical models work best for the dataset. I achieved 90% validation accuracy with a Neural Network by fine-tuning hyperparameters (hidden_layer_sizes=1024, 128, 16; max_epochs=100). In addition, I documented model performance, highlighting overfitting, underfitting, and misclassification issues, with visualizations using Matplotlib.","Python, TensorFlow, Pandas, Scikit-Learn, Classical Models (Logistic Regression, KNN, zrandom Forest), Pytorch, Documentation, Reporting, Matpotlib, Visuzalitoin",0,Please email me to see this code.
Data Analytics,NYC Eviction,"In a group of 4 Analysts, we analyzed and reviewed over 68,000 eviction records across NYC’s five boroughs using Tableau and Excel, providing data-driven insights and preparing detailed reports on eviction trends for department use. We conducted root cause analysis to identify patterns in eviction data, uncovering significant declines linked to legislative interventions, including the New York State Eviction Moratorium during the Covid-19 pandemic. We developed and maintained production reports, leveraging advanced Excel and Tableau to track key eviction metrics, and presented actionable recommendations for improving housing policies and tenant protections.","Excel (VLookUp, Pivot Tavbles), Data Visualization, Data Analysis, Tableau",https://docs.google.com/presentation/d/1Lx6RojXQEAZw7Slr4oDPmx6J8w0b-IWkhrKHqphX_kE/edit?usp=sharing,
Data Analytics,Budget Allocation for Digital Marketing,"As the creative analyst, I analyzed over 720 telecommunication ad campaigns to identify and resolve data inconsistencies using Tableau and Excel. I used KPIs across audience segments, creative dimensions and devices, driving actionable recommednations. I also Evaluated three creative sizes to determine performance by device type, 100+ DMAs, and four messaging strategies, driving data-driven recommendations to enhance campaign effectiveness.","Excel (VLookUp, Pivot Tavbles), Data Visualization, Data Analysis, Tableau",https://docs.google.com/presentation/d/1KKfiragtmYCMpDsAwf0j3dLz0Juqc-warTakpvlDIOI/edit?usp=sharing,
